,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2847,Kepler-24 e,Kepler-24,18.998355,0.138,2.78,8.15,0.0,81.51,792.0,nan,5897.0,1.29,1.05,-0.071,4.2,,623.724023794384,Too Hot,Neptune-Like,0.0,0.7972143103898484,1.4877829182300197,Mixed-Members
2848,Kepler-240 b,Kepler-240,4.144495,0.048,1.37,2.45,0.0,142.74,864.0,nan,4985.0,0.74,0.87,0.41,4.63,,700.5056980977529,Too Hot,Super-Earth,0.0,0.3268023456612382,0.6098873805646174,Terrestrial-SuperEarth-Only
2849,Kepler-240 c,Kepler-240,7.953528,0.074,2.2,102.3,0.0,59.84,696.0,nan,4985.0,0.74,0.87,0.41,4.63,,511.0199009663338,Too Hot,Super-Earth,0.0,0.3268023456612382,0.6098873805646174,Terrestrial-SuperEarth-Only
2850,Kepler-241 b,Kepler-241,12.718092,0.094,2.33,6.04,0.0,23.6,562.0,nan,4699.0,0.67,0.67,0.031,4.63,,350.906520851859,Too Hot,Neptune-Like,0.0,0.26291103374775693,0.4906516854079416,NeptuneLike-GasGiant-Only
2851,Kepler-241 c,Kepler-241,36.065978,0.189,2.57,7.13,0.0,5.88,397.0,nan,4699.0,0.67,0.67,0.031,4.63,,166.95565635286948,Too Hot,Neptune-Like,0.0,0.26291103374775693,0.4906516854079416,NeptuneLike-GasGiant-Only
2852,Kepler-242 b,Kepler-242,8.20395,0.075,2.61,7.32,0.0,43.77,742.0,nan,5020.0,0.85,0.75,-0.02,4.49,,567.5238806250936,Too Hot,Neptune-Like,0.0,0.38067072571566785,0.7104180090709115,Mixed-Members
2853,Kepler-242 c,Kepler-242,14.496481,0.109,2.0,4.66,0.0,20.5,613.0,nan,5020.0,0.85,0.75,-0.02,4.49,,424.19057740355504,Too Hot,Super-Earth,0.0,0.38067072571566785,0.7104180090709115,Mixed-Members
2854,Kepler-243 b,Kepler-243,5.715442,0.062,2.45,6.57,0.0,115.51,850.0,nan,5228.0,0.84,0.9,0.26,4.57,,684.0978138140981,Too Hot,Neptune-Like,0.0,0.4080125896696493,0.7614441354376225,Mixed-Members
2855,Kepler-243 c,Kepler-243,20.026218,0.142,1.99,4.62,0.0,21.72,559.0,nan,5228.0,0.84,0.9,0.26,4.57,,359.3726120615187,Too Hot,Super-Earth,0.0,0.4080125896696493,0.7614441354376225,Mixed-Members
2856,Kepler-244 b,Kepler-244,4.311792,0.05,2.76,8.05,0.0,242.47,1038.0,nan,5554.0,0.8,0.93,0.07,4.58,,831.9736491579623,Too Hot,Neptune-Like,0.0,0.43855579882710527,0.8184446988496967,Mixed-Members
