
st_host_name,pl_lm_class
HD 222155,N/A
alf Ari,N/A
Kepler-1249,N/A
HIP 5158,Ordered
Qatar-9,N/A
Qatar-8,N/A
Kepler-1241,N/A
Kepler-1242,N/A
HIP 67537,N/A
Kepler-1243,N/A
Kepler-1244,N/A
Kepler-1245,Similar
Kepler-1246,N/A
Kepler-1247,N/A
Kepler-1248,N/A
HR 2562,N/A
HD 152079,N/A
LHS 475,N/A
Kepler-1240,N/A
Kepler-1252,N/A
Qatar-7,N/A
Kepler-1253,N/A
Kepler-1254,Similar
Qatar-5,N/A
Kepler-1255,N/A
Qatar-4,N/A
Kepler-1256,N/A
Qatar-3,N/A
